Total Value,Parcel ID,Map Number,Property   Location ,Township ,Land Use,Property Class,Land Area (acreage),Neighborhood Code,Zoning,Legal Desc,Utilities1,Utilities2,Utilities3
"$19,360",03.20D.1.315,03630713134067,PONTIAC PATH,Coolbaugh,911-Undevelped Land,9-Taxable,.36,03R05,R-3,LOT 18 BLK 68 SEC 12,8-Electric,-,-
"$21,120",03.20D.1.316,03630713133065,PONTIAC PATH,Coolbaugh,913-Developments,9-Taxable,.52,03R05,R-3,LOT 17 BLK 68 SEC 12,8-Electric,-,-
"$18,810",03.20D.1.317,03630713122999,PONTIAC PATH,Coolbaugh,913-Developments,9-Taxable,.33,03R05,R-3,LOT 16 BLK 68 SEC 12,8-Electric,-,-
"$17,930",03.20D.1.73,03630717018674,N ARROW DR,Coolbaugh,911-Undevelped Land,9-Taxable,.29,03R05,R-3,LOT 19 BLK 76 SEC 12,-,-,8-Electric
"$18,150",03.20D.1.74,03630717018548,N ARROW DR,Coolbaugh,911-Undevelped Land,9-Taxable,.30,03R05,R-3,LOT 18 BLK 76 SEC 12,-,-,8-Electric
"$17,710",03.20D.1.76,03630717018405,N ARROW DR,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R05,R-3,LOT 16 BLK 76 SEC 12,-,-,8-Electric
"$19,690",03.20D.1.80,03630717015670,SKIPPACK TR,Coolbaugh,911-Undevelped Land,9-Taxable,.39,03R05,R-3,LOT 12 BLK 76 SEC 12,-,-,8-Electric
"$17,270",03.20D.1.82,03630717017734,ORONO DR,Coolbaugh,913-Developments,9-Taxable,.26,03R05,R-3,LOT 10 BLK 76 SEC 12,-,-,8-Electric
"$18,150",03.20D.1.83,03630717017880,ORONO DR,Coolbaugh,913-Developments,9-Taxable,.30,03R05,R-3,LOT 9 BLK 76 SEC 12,-,-,8-Electric
"$16,390",03.20D.1.84,03630717018827,ORONO DR,Coolbaugh,913-Developments,9-Taxable,.22,03R05,R-3,LOT 8 BLK 76 SEC 12,-,-,8-Electric
"$19,470",03.20D.1.92,03630717122371,ORONO DR,Coolbaugh,911-Undevelped Land,9-Taxable,.37,03R05,R-3,LOT 6 BLK 77 SEC 12,-,-,8-Electric
"$18,810",03.20D.1.93,03630717123371,ORONO DR,Coolbaugh,911-Undevelped Land,9-Taxable,.33,03R05,R-3,LOT 5 BLK 77 SEC 12,-,-,8-Electric
"$17,710",03.20D.1.94,03630717124269,ORONO DR,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R05,R-3,LOT 4 BLK 77 SEC 12,-,-,8-Electric
"$17,490",03.20D.1.95,03630717125236,ORONO DR,Coolbaugh,911-Undevelped Land,9-Taxable,.27,03R05,R-3,LOT 3 BLK 77 SEC 12,-,-,8-Electric
"$18,810",03.20D.1.97,03630717126176,ORONO DR,Coolbaugh,911-Undevelped Land,9-Taxable,.33,03R05,R-3,LOT 1 BLK 77 SEC 12,-,-,8-Electric
"$16,240",03.3B.1.36,03635820708415,COUNTRY PLACE DR,Coolbaugh,911-Undevelped Land,9-Taxable,.20,03R03,R-3, ,1-All Public,-,-
"$18,030",03.3B.1.80,03635820801764,GREENBRIAR CIR,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R03,R-3,LOT 61 SEC A,1-All Public,-,-
"$18,930",03.4A.1.35,03636701065064,EAST OF VICEROY,Coolbaugh,913-Developments,9-Taxable,.32,03R03,R-2,REC AREA,-,-,8-Electric
"$21,250",03.4B.2.201,03636703120495,1309 CAMBELL WAY,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R06,R-3,LOT 4216 SEC 8,8-Electric,-,-
"$21,780",03.4B.2.66,03636703115814,3123 ESSEX RD,Coolbaugh,911-Undevelped Land,9-Taxable,.30,03R06,R-3,LOT 3621 SEC VII,8-Electric,2-PUBLIC WATER,-
"$20,720",03.4C.1.3,03636601164973,3350 FALSTAFF DR,Coolbaugh,911-Undevelped Land,9-Taxable,.26,03R06,R-3,LOT 1702 SEC III,2-Public Water,8-Electric,-
"$21,250",03.4C.1.4,03636601164929,3316 FALSTAFF DR,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R06,R-3,LOT 1703 SEC III,2-Public Water,8-Electric,-
"$21,250",03.4C.1.43,03636601171182,3316 OBERON RD,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R06,R-3,LOT 1710 SEC 3,5-Well,8-Electric,-
"$21,250",03.4C.1.46,03636601079191,OBERON RD,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R06,R-3,LOT 1608 SEC 3,5-Well,8-Electric,-
"$25,740",03.4C.1.47,03636601079292,OBERON RD,Coolbaugh,911-Undevelped Land,9-Taxable,.55,03R06,R-3,"LOTS 1606,1607 SEC III",5-Well,8-Electric,-
"$22,310",03.4C.1.5,03636601173085,3315 FALSTAFF DR,Coolbaugh,911-Undevelped Land,9-Taxable,.32,03R06,R-3,LOT 1704 SEC 3,2-Public Water,8-Electric,-
"$21,250",03.4C.1.6,03636601173154,3347 FALSTAFF DR,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R06,R-3,LOT 1705 SEC 3,2-Public Water,8-Electric,-
"$21,250",03.4C.1.7,03636601173241,2153 FALSTAFF DR,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R06,R-3,LOT 1706 SEC 3,5-Well,8-Electric,-
"$22,040",03.4C.1.8,03636601173330,2189 FALSTAFF,Coolbaugh,911-Undevelped Land,9-Taxable,.31,03R06,R-3,LOT 1707 SEC 3,5-Well,8-Electric,-
"$21,250",03.4D.1.144,03636601294103,292 BUCKINGHAM CIR,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R06,R-3,LOT 5332 SEC 5,5-Well,8-Electric,-
"$21,520",03.4E.1.17,03636703215900,BRISTOL CT,Coolbaugh,911-Undevelped Land,9-Taxable,.29,03R06,R-3,LOT 4402 SEC 9,8-Electric,-,-
"$19,670",03.5.1.103-4,03635501088254,BRDWAY,Coolbaugh,911-Undevelped Land,9-Taxable,.22,03R10,R-3,LOTS 9 TO 14 SEC V,8-Electric,-,-
"$2,320",03.5.1.104,03635501089178,BRDWAY,Coolbaugh,912-Non-Perk,9-Taxable,.36,03R10,R-3,LOTS 1 TO 9 SEC V,8-Electric,-,-
"$11,150",03.5.1.105,03635501180178,BRDWAY,Coolbaugh,911-Undevelped Land,9-Taxable,.32,03R10,R-3,LOTS 15 TO 20 SEC U,8-Electric,-,-
"$26,140",03.5.1.107,03635501194260,BRDWAY,Coolbaugh,911-Undevelped Land,9-Taxable,.58,03R10,R-3,63 TO 74 81 TO 84 SEC V,9-None,-,-
"$19,670",03.5.1.107-4,03635501195362,BRDWAY,Coolbaugh,911-Undevelped Land,9-Taxable,.22,03R10,R-3,LOTS 75 TO 80 SEC V,9-None,-,-
"$1,970",03.5.1.107-5,03635501181888,BRDWAY,Coolbaugh,912-Non-Perk,9-Taxable,.22,03R10,R-3,LOTS 45 TO 50 SEC V,8-Electric,-,-
"$28,250",03.5.1.108,03635501198497,BRDWAY,Coolbaugh,911-Undevelped Land,9-Taxable,.74,03R10,R-3,LOTS 85 TO 101 SEC V,9-None,-,-
"$19,930",03.5.1.109,03635501197301,BRDWAY,Coolbaugh,911-Undevelped Land,9-Taxable,.23,03R10,R-3,LOTS 1 TO 5 SEC W,9-None,-,-
"$19,140",03.5.1.110,03635501198325,BRDWAY,Coolbaugh,911-Undevelped Land,9-Taxable,.20,03R10,R-3,LOTS 6 12 SEC W,9-None,-,-
"$23,890",03.5.1.111,03635501199231,BRDWAY,Coolbaugh,911-Undevelped Land,9-Taxable,.41,03R10,R-3,LOT 8 SEC X,9-None,-,-
"$11,290",03.5.1.114,03635501196153,BRDWAY,Coolbaugh,911-Undevelped Land,9-Taxable,.33,03R10,R-3,LOT 5 SEC X,9-None,-,-
"$2,360",03.5.1.117,03635501184937,BRDWAY,Coolbaugh,911-Undevelped Land,9-Taxable,.39,03R10,R-3,LOT 2 SEC X,8-Electric,-,-
"$23,100",03.5.1.119,03635501185790,GAY ST,Coolbaugh,911-Undevelped Land,9-Taxable,.35,03R10,R-3,LOT 160 SEC N,8-Electric,-,-
"$22,570",03.5.1.120,03635501185880,GAY ST,Coolbaugh,911-Undevelped Land,9-Taxable,.33,03R10,R-3,LOT 159 SEC N,9-None,-,-
"$2,350",03.5.1.122,03635501186975,STRATTON PL,Coolbaugh,912-Non-Perk,9-Taxable,.38,03R10,R-3,LOT 157 SEC N,9-None,-,-
"$23,230",03.5.1.124,03635501188969,STRATTON PL,Coolbaugh,911-Undevelped Land,9-Taxable,.36,03R10,R-3,LOT 155 SEC N,9-None,-,-
"$2,050",03.5.1.131-2,03635501187593,WAVERLY ST,Coolbaugh,912-Non-Perk,9-Taxable,.25,03R10,R-3,LOTS 24 TO 28 SEC S,8-Electric,-,-
"$1,970",03.5.1.132,03635501187747,STRATTON PL,Coolbaugh,912-Non-Perk,9-Taxable,.22,03R10,R-3,LOTS 8 TO 12 SEC S,9-None,-,-
"$19,670",03.5.1.132-1,03635501187611,GAY ST,Coolbaugh,911-Undevelped Land,9-Taxable,.22,03R10,R-3,LOTS 1 TO 5 SEC S,8-Electric,-,-
"$2,150",03.5.1.133,03635501186520,GAY ST,Coolbaugh,912-Non-Perk,9-Taxable,.29,03R10,R-3,LOTS 5 TO 8 SEC O,8-Electric,-,-
"$21,520",03.5.1.136,03635501187284,PARK AVE,Coolbaugh,911-Undevelped Land,9-Taxable,.29,03R10,R-3,LOTS 24 27 SEC O,8-Electric,-,-
"$22,840",03.5.1.155,03635501188399,GRAMERCY PL,Coolbaugh,911-Undevelped Land,9-Taxable,.34,03R10,R-3,LOTS 1 8 SEC P,8-Electric,-,-
"$17,820",03.5.1.156,03635501189511,WAVERLY ST,Coolbaugh,911-Undevelped Land,9-Taxable,.15,03R10,R-3,LOTS 9 12 SEC P,9-None,-,-
"$18,610",03.5.1.161,03635501282905,STRATTON PL,Coolbaugh,911-Undevelped Land,9-Taxable,.18,03R10,R-3,LOTS 147 151 SEC N,9-None,-,-
"$8,780",03.5.1.161-1,03635501283707,STRATTON PL,Coolbaugh,911-Undevelped Land,9-Taxable,.14,03R10,R-3,LOTS 137 140 SEC N,8-Electric,-,-
"$18,610",03.5.1.161-2,03635501283760,STRATTON PL,Coolbaugh,911-Undevelped Land,9-Taxable,.18,03R10,R-3,LOTS 132 136 SEC N,8-Electric,-,-
"$19,670",03.5.1.161-3,03635501282865,STRATTON PL,Coolbaugh,911-Undevelped Land,9-Taxable,.22,03R10,R-3,LOTS 141 146 SEC N,9-None,-,-
"$9,440",03.5.1.37,03635501153578,FIFTH ST,Coolbaugh,911-Undevelped Land,9-Taxable,.19,03R10,R-3, ,8-Electric,-,-
"$24,290",03.5.1.56,03635501266459,LEXINGTON AVE,Coolbaugh,911-Undevelped Land,9-Taxable,.44,03R10,R-3,LOTS 1 TO 12 SEC N,8-Electric,-,-
"$3,320",03.5.1.81,03635501183388,GAY ST,Coolbaugh,912-Non-Perk,9-Taxable,.23,03R10,R-3,LOT 24,8-Electric,-,-
"$12,010",03.5.1.88,03635501181597,BRDWAY,Coolbaugh,911-Undevelped Land,9-Taxable,.42,03R10,R-3,LOT 4 SEC T,8-Electric,-,-
"$39,160",03.5.1.90,03635501181473,BRDWAY,Coolbaugh,911-Undevelped Land,9-Taxable,.38,03R10,R-3,LOT 6 SEC T,8-Electric,-,-
"$39,160",03.5.1.91,03635501181385,BRDWAY,Coolbaugh,911-Undevelped Land,9-Taxable,.38,03R10,R-3,LOT 7 SEC T,8-Electric,-,-
"$29,200",03.5.2.93,03635503042207,WINCHESTER LN,Coolbaugh,115-Residential OBYs,9-Taxable,.41,03R10,R-3, ,8-Electric,-,-
"$4,360",03.7.1.47-6T,03635601190800T6,4116 WHITE ROCK LN,Coolbaugh,141-Mobile Homes/Parks,9-Taxable, ,03C06TP,R2,LOT 6 CHAMPION,3-Public Sewer,2-PUBLIC WATER,8-Electric
"$8,350",03.7B.1.108,03635704630796,109 LINCOLN CIR,Coolbaugh,911-Undevelped Land,9-Taxable,.31,03R07,R-3,LOT 2202 SEC B,1-All Public,-,-
"$17,100",03.7B.1.109,03635704538742,109 LINCOLN CIR,Coolbaugh,911-Undevelped Land,9-Taxable,.33,03R07,R-3,LOT 2207 SEC B,1-All Public,-,-
"$1,550",03.7B.1.121,03635704525227,5105 SHAWNEE OVAL,Coolbaugh,912-Non-Perk,9-Taxable,.25,03R07,R-3,LOT 4104 SEC B,1-All Public,-,-
"$16,100",03.7B.1.16,03635704630548,206 LINCOLN CIR,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R07,R-3,LOT 2204 SEC B,1-All Public,-,-
"$16,100",03.7B.1.17,03635704539536,206 LINCOLN CIR,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R07,R-3,LOT 2205 SEC B,1-All Public,-,-
"$1,690",03.7B.1.4,03635704645129,709 ARTHUR CIR,Coolbaugh,912-Non-Perk,9-Taxable,.32,03R07,R-3,LOT 1409 SEC B,1-All Public,-,-
"$16,300",03.7B.1.94,03635704644070,ARTHUR CIR,Coolbaugh,911-Undevelped Land,9-Taxable,.29,03R07,R-3,LOT 1411 SEC B,1-All Public,-,-
"$16,900",03.7C.1.104,03635703415942,MARLIN RD,Coolbaugh,911-Undevelped Land,9-Taxable,.32,03R07,R-3,LOT 262 SEC C,2-Public Water,8-Electric,-
"$17,500",03.7C.1.124,03635703327069,MANNLICHER OVAL,Coolbaugh,911-Undevelped Land,9-Taxable,.35,03R07,R-3,LOT 317 SEC C,8-Electric,-,-
"$8,050",03.7C.1.126,03635703316942,MANNLICHER OVAL,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R07,R-3,LOT 315 SEC C,8-Electric,-,-
"$50,870",03.7C.1.138,03635703414373,3107 BEAVER DR,Coolbaugh,111-Household Units,9-Taxable,.32,03R07,R-3,LOT 332 SEC C,6-Septic,2-PUBLIC WATER,8-Electric
"$15,900",03.7C.1.43,03635703439325,JACKSON DR,Coolbaugh,911-Undevelped Land,9-Taxable,.27,03R07,R-3,LOT 123 SEC C,2-Public Water,8-Electric,-
"$15,900",03.7C.1.45,03635703439134,JACKSON DR,Coolbaugh,911-Undevelped Land,9-Taxable,.27,03R07,R-3,LOT 121 SEC C,2-Public Water,8-Electric,-
"$15,900",03.7C.1.58,03635703433420,SKYTOP PL,Coolbaugh,911-Undevelped Land,9-Taxable,.27,03R07,R-3,LOT 143 SEC C,2-Public Water,8-Electric,-
"$16,300",03.7D.1.28,03635703434614,HONEYSUCKLE WAY,Coolbaugh,911-Undevelped Land,9-Taxable,.29,03R07,R-3,LOT 460 SEC D,2-Public Water,8-Electric,-
"$16,500",03.7D.1.69,03635703430569,FOXGLOVE LN,Coolbaugh,911-Undevelped Land,9-Taxable,.30,03R07,R-3,LOT 491 SEC D,8-Electric,-,-
"$16,100",03.7D.1.72,03635703339453,HOGAN WAY,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R07,R-3,LOT 484 SEC D,8-Electric,-,-
"$1,430",03.7D.1.99,03635704546427,TULIP TR,Coolbaugh,912-Non-Perk,9-Taxable,.19,03R07,R-3,LOT 424 SEC D,1-All Public,-,-
"$8,950",03.7F.1.56,03634702966304,226 CHAMPLAIN DR,Coolbaugh,911-Undevelped Land,9-Taxable,.39,03R07,R-3,LOT 1775 SEC H,1-All Public,-,-
"$15,900",03.7F.2.27,03634704932387,317 MOHANSIC LN,Coolbaugh,911-Undevelped Land,9-Taxable,.27,03R07,R-3,LOT 7214 SEC K,8-Electric,-,-
"$6,050",03.7F.2.71,03634704848025,LAKE RD,Coolbaugh,911-Undevelped Land,9-Taxable,.08,03R07,R-3,SEC K,8-Electric,-,-
"$9,450",03.7G.1.49,03635703136461,244 LAKE RD,Coolbaugh,911-Undevelped Land,9-Taxable,.49,03R07,R-3,LOT 5051 SEC 1,2-Public Water,8-Electric,-
"$19,000",03.7G.1.7,03634704949266,2518 CANANDAIGUA WALK,Coolbaugh,911-Undevelped Land,9-Taxable,.50,03R07,R-3,LOT 5101 SEC I,8-Electric,-,-
"$1,960",03.7G.2.11,03635703027146,KILMER RD,Coolbaugh,912-Non-Perk,9-Taxable,.56,03R07,R-3,LOT 7520 SEC L,8-Electric,-,-
"$1,670",03.7G.2.41,03635703125275,5157 KILMER RD,Coolbaugh,912-Non-Perk,9-Taxable,.31,03R07,R-3,LOT 7550 SEC L,8-Electric,-,-
"$19,500",03.7G.2.57,03635703037210,5113 LAKE RD,Coolbaugh,911-Undevelped Land,9-Taxable,.55,03R07,R-3,LOT 7508 SEC L,8-Electric,-,-
"$1,910",03.7H.1.117,03635703221827,1162 KILMER RD,Coolbaugh,912-Non-Perk,9-Taxable,.51,03R07,R-3,LOT 2508 SEC J,8-Electric,-,-
"$17,900",03.7H.1.19,03635703329864,1109 LOST MEADOWS DR,Coolbaugh,911-Undevelped Land,9-Taxable,.39,03R07,R-3,LOT 2610 SEC J,2-Public Water,8-Electric,-
"$1,710",03.7H.1.27,03635703323894,194 LOST MEADOWS DR,Coolbaugh,912-Non-Perk,9-Taxable,.33,03R07,R-3,LOT 2602 SEC J,2-Public Water,8-Electric,-
"$1,590",03.7H.1.28,03635703323827,194 LOST MEADOWS DR,Coolbaugh,912-Non-Perk,9-Taxable,.27,03R07,R-3,LOT 2601 SEC J,2-Public Water,8-Electric,-
"$19,600",03.7I.1.138,03635704608290,3150 MOHAWK TR,Coolbaugh,111-Household Units,9-Taxable,.56,03R07,R-3,LOT 5917 SEC P,1-All Public,-,-
"$17,600",03.7I.1.145,03635602694790,5193 SENECA WAY,Coolbaugh,911-Undevelped Land,9-Taxable,.36,03R07,R-3,LOT 5926 SEC P,1-All Public,-,-
"$16,100",03.7I.1.151,03635704606190,3116 SENECA LN,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R07,R-3,LOT 5934 SEC P,8-Electric,6-SEPTIC,2-PUBLIC WATER
"$1,790",03.7I.1.162,03635602698672,3177 MOHAWK TR,Coolbaugh,912-Non-Perk,9-Taxable,.39,03R07,R-3,LOT 5952 SEC P,1-All Public,-,-
"$1,770",03.7I.1.165,03635602699853,3177 MOHAWK TR,Coolbaugh,912-Non-Perk,9-Taxable,.37,03R07,R-3,LOT 5949 SEC P,1-All Public,-,-
"$17,900",03.7I.1.90,03635704600499,1129 SEVEN NATIONS DR,Coolbaugh,911-Undevelped Land,9-Taxable,.39,03R07,R-3,LOTS 5869,1-All Public,-,-
"$15,300",03.7I.3.36,03635704812098,2106 MINISINK AVE,Coolbaugh,911-Undevelped Land,9-Taxable,.24,03R07,R-3,LOT 5724 SEC R,1-All Public,-,-
"$18,300",03.7J.1.51,03635602680408,5231 CHEROKEE TR,Coolbaugh,911-Undevelped Land,9-Taxable,.43,03R07,R-3,LOT 6155 SEC N,1-All Public,-,-
"$16,100",03.7J.1.9,03635602684526,118 APACHE TR,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R07,R-3,LOT 6107 SEC N,1-All Public,-,-
"$1,610",03.7J.2.93,03635601390649,7183 SUSQUEHANNA DR,Coolbaugh,912-Non-Perk,9-Taxable,.28,03R07,R-3,LOT 7039,8-Electric,2-PUBLIC WATER,-
"$1,610",03.7J.2.95,03635601392619,7183 MOHICAN LN,Coolbaugh,912-Non-Perk,9-Taxable,.28,03R07,R-3,LOT 7033,8-Electric,2-PUBLIC WATER,-
"$18,500",03.8A.1.128,03635702571443,BUCK RUN,Coolbaugh,911-Undevelped Land,9-Taxable,.45,03R07,R-3,LOT 17 SEC D,-,-,8-Electric
"$18,500",03.8A.1.139,03635702762713,OAK VIEW LN,Coolbaugh,911-Undevelped Land,9-Taxable,.45,03R07,R-3,LOT H SEC 9,-,-,8-Electric
"$18,500",03.8A.1.87,03635701475494,LAUREL VIEW LN,Coolbaugh,911-Undevelped Land,9-Taxable,.45,03R07,R-3,LOT 20 SEC C,8-Electric,6-SEPTIC,2-PUBLIC WATER
"$1,860",03.8A.1.97,03635702572975,LAUREL VIEW LN,Coolbaugh,912-Non-Perk,9-Taxable,.46,03R07,R-3,LOT 27 BLK D,-,-,8-Electric
"$2,450",03.8B.2.88,03635815632091,BROOK CT,Coolbaugh,912-Non-Perk,9-Taxable,.79,03R03,R-3,LOT 285 SEC D,1-All Public,-,-
"$20,160",03.8B.2.96,03635815626681,WOODLAND DR,Coolbaugh,911-Undevelped Land,9-Taxable,.40,03R03,R-3,LOT 293 SEC D,1-All Public,-,-
"$16,240",03.8C.1.144,03635814334315,BOARDWALK DR,Coolbaugh,911-Undevelped Land,9-Taxable,.20,03R03,R-3,LOT 272 SEC F,1-All Public,-,-
"$16,460",03.8C.1.169,03635814331612,LAUREL HOLLOW,Coolbaugh,911-Undevelped Land,9-Taxable,.21,03R03,R-3,LOT 516 SEC F,1-All Public,-,-
"$1,970",03.8C.1.172,03635814239437,LAUREL HOLLOW,Coolbaugh,912-Non-Perk,9-Taxable,.36,03R03,R-3,LOT 513 SEC F,1-All Public,-,-
"$17,580",03.8C.1.191,03635814238893,RUNNYMEDE LN,Coolbaugh,911-Undevelped Land,9-Taxable,.26,03R03,R-3,LOT 494 SEC F,1-All Public,-,-
"$18,030",03.8C.1.196,03635814235625,RUNNYMEDE LN,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R03,R-3,LOT 489 SEC F,1-All Public,-,-
"$16,460",03.8C.1.216,03635814248165,MARVIN GDNS,Coolbaugh,911-Undevelped Land,9-Taxable,.21,03R03,R-3,LOT 469 SEC F,1-All Public,-,-
"$1,650",03.8C.1.217,03635814248102,6407 MARVIN GDNS,Coolbaugh,912-Non-Perk,9-Taxable,.21,03R03,R-3,LOT 468 SEC F,1-All Public,-,-
"$17,140",03.8C.1.225,03635814246270,MARVIN GDNS,Coolbaugh,911-Undevelped Land,9-Taxable,.24,03R03,R-3,LOT 461 SEC F,1-All Public,-,-
"$17,140",03.8C.1.258,03635810455476,MARVIN GDNS,Coolbaugh,911-Undevelped Land,9-Taxable,.24,03R03,R-3,LOT 182 SEC F,8-Electric,-,-
"$16,240",03.8C.1.297,03635814444763,6314 VENTNOR DR,Coolbaugh,911-Undevelped Land,9-Taxable,.20,03R03,R-3,LOT 164 SEC F,1-All Public,-,-
"$19,380",03.8D.1.132,03635809154304,SHADY LN,Coolbaugh,911-Undevelped Land,9-Taxable,.34,03R03,R-3,LOT 555 SEC G,1-All Public,-,-
"$17,810",03.8D.1.18,03635813240142,COUNTRY PLACE DR,Coolbaugh,911-Undevelped Land,9-Taxable,.27,03R03,R-3,LOT 642 SEC G,1-All Public,-,-
"$16,690",03.8D.1.180,03635813242313,COUNTRY PLACE DR,Coolbaugh,911-Undevelped Land,9-Taxable,.22,03R03,R-3,LOT 624 SEC G,1-All Public,-,-
"$19,600",03.8D.1.195,03635814246305,FEATHER LN,Coolbaugh,911-Undevelped Land,9-Taxable,.35,03R03,R-3,LOT 321 SEC G,1-All Public,-,-
"$1,620",03.8D.1.196,03635814246480,FEATHER LN,Coolbaugh,911-Undevelped Land,9-Taxable,.20,03R03,R-3,LOT 320 SEC G,1-All Public,-,-
"$16,240",03.8D.1.217,03635809159530,7338 MEADOWLARK DR,Coolbaugh,911-Undevelped Land,9-Taxable,.20,03R03,R-3,LOT 512 SEC G,1-All Public,-,-
"$16,240",03.8D.1.31,03635813242062,FAWN LN,Coolbaugh,911-Undevelped Land,9-Taxable,.20,03R03,R-3,LOT 629 SEC G,1-All Public,-,-
"$16,690",03.8D.1.348,03635810278490,SAW MILL RD,Coolbaugh,911-Undevelped Land,9-Taxable,.22,03R03,R-3,LOT 338 SEC G,8-Electric,-,-
"$18,480",03.8D.1.35,03635813241246,FAWN LN,Coolbaugh,911-Undevelped Land,9-Taxable,.30,03R03,R-3,LOT 625 SEC G,1-All Public,-,-
"$16,240",03.8D.1.357,03635809274041,DEERFIELD RD,Coolbaugh,911-Undevelped Land,9-Taxable,.20,03R03,R-3,LOT 384 SEC G,1-All Public,-,-
"$18,030",03.8D.1.423,03635810370357,SAW MILL RD,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R03,R-3,LOT 342 SEC G,1-All Public,-,-
"$16,240",03.8D.1.438,03635810363774,LONG PINE DR,Coolbaugh,911-Undevelped Land,9-Taxable,.20,03R03,R-3,LOT 187 SEC G,8-Electric,-,-
"$16,240",03.8D.1.444,03635810362373,LONG PINE DR,Coolbaugh,911-Undevelped Land,9-Taxable,.20,03R03,R-3,LOT 193 SEC G,8-Electric,-,-
"$20,050",03.8E.1.122,03634812963037,NATURES DR,Coolbaugh,911-Undevelped Land,9-Taxable,.39,03R03,R-3,LOT 324 SEC H,8-Electric,2-PUBLIC WATER,-
"$18,260",03.8E.1.125,03634812954873,NATURES DR,Coolbaugh,911-Undevelped Land,9-Taxable,.29,03R03,R-3,LOT 315 SEC H,8-Electric,2-PUBLIC WATER,-
"$16,460",03.8E.1.134,03635809051913,NATURES DR,Coolbaugh,911-Undevelped Land,9-Taxable,.21,03R03,R-3,LOT 332 SEC H,1-All Public,-,-
"$16,690",03.8E.1.147,03635809161144,NATURES DR,Coolbaugh,911-Undevelped Land,9-Taxable,.22,03R03,R-3,LOT 161 SEC H,1-All Public,-,-
"$16,690",03.8E.1.151,03635809162415,NATURES DR,Coolbaugh,911-Undevelped Land,9-Taxable,.22,03R03,R-3,LOT 157 SEC H,1-All Public,-,-
"$16,910",03.8E.1.156,03635809163814,NATURES DR,Coolbaugh,911-Undevelped Land,9-Taxable,.23,03R03,R-3,LOT 152 SEC H,8-Electric,-,-
"$16,690",03.8E.1.161,03635809172116,BLACKBIRD DR,Coolbaugh,911-Undevelped Land,9-Taxable,.22,03R03,R-3,LOT 442 SEC H,1-All Public,-,-
"$16,690",03.8E.1.164,03635809161944,BLACKBIRD DR,Coolbaugh,911-Undevelped Land,9-Taxable,.22,03R03,R-3,LOT 439 SEC H,1-All Public,-,-
"$19,600",03.8E.1.2,03635809151259,SLEEPY HOLLOW DR,Coolbaugh,911-Undevelped Land,9-Taxable,.35,03R03,R-3,LOT 213 SEC H,1-All Public,-,-
"$16,910",03.8E.1.243,03634812952674,COUNTRY PLACE DR,Coolbaugh,911-Undevelped Land,9-Taxable,.23,03R03,R-3,LOT 361 SEC H,8-Electric,2-PUBLIC WATER,-
"$16,460",03.8E.1.257,03634812964645,COUNTRY PLACE DR,Coolbaugh,911-Undevelped Land,9-Taxable,.21,03R03,R-3,LOT 374 SEC H,8-Electric,2-PUBLIC WATER,-
"$16,460",03.8E.1.261,03634812966829,COUNTRY PLACE DR,Coolbaugh,911-Undevelped Land,9-Taxable,.21,03R03,R-3,LOT 378 SEC H,8-Electric,2-PUBLIC WATER,-
"$16,460",03.8E.1.291,03635805180775,COUNTRY PLACE DR,Coolbaugh,911-Undevelped Land,9-Taxable,.21,03R03,R-3,LOT 524 SEC H,1-All Public,-,-
"$17,580",03.8E.1.292,03635805180836,COUNTRY PLACE DR,Coolbaugh,911-Undevelped Land,9-Taxable,.26,03R03,R-3,LOT 525 SEC H,1-All Public,-,-
"$28,370",03.8E.1.301,03635805188403,COUNTRY PL DR,Coolbaugh,911-Undevelped Land,9-Taxable,1.38,03R03,R-3,SEC H,1-All Public,-,-
"$18,700",03.8E.1.318,03635805274786,ELIZABETH LN,Coolbaugh,911-Undevelped Land,9-Taxable,.31,03R03,R-3,LOT 22 SEC H,1-All Public,-,-
"$16,690",03.8E.1.343,03635809274212,DEERFIELD RD,Coolbaugh,911-Undevelped Land,9-Taxable,.22,03R03,R-3,LOT 42 SEC H,1-All Public,-,-
"$17,580",03.8E.1.36,03635813048821,SHANNON DR,Coolbaugh,911-Undevelped Land,9-Taxable,.26,03R03,R-3,LOT 257 SEC H,1-All Public,-,-
